ALTERNATIVEACC	GI	PRIMARYACC	TAXID
A0A0M4KE44.1	1035996207	MiCGTb_S16	29780
AAB61023.1	2191136	AAB61023.1	3702
AAB87106.1	2642438	NP_179906.1	3702
AAB87110.1	2642442	AAB87110.1	3702
AAB87119.1	2642451	NP_179907.1	3702
AAD12210.1	4218002	At_72D1_S6	3702
AAD12211.1	4218003	AAD12211.1	3702
AAF97321.1	9665137	NP_171649.1	3702
AAF97324.1	9665140	AAF97324.1	3702
AAK25972.1	13430700	At_72B1_S1	3702
AAK54465.1	14192682	AAK54465.1	52705
AAK64133.1	14532902	At_72B1_S1	3702
AAK82559.1	15081809	NP_566885.1	3702
AAL32746.1	17065184	NP_171646.1	3702
AAL61932.1	18252199	NP_197207.1	3702
AAL85034.1	19310607	NP_190251.1	3702
AAM13225.1	20260654	AAM13225.1	3702
AAM51411.1	21436421	NP_190251.1	3702
AAM53289.1	21539473	NP_566885.1	3702
AAM61443.1	21537102	AAM61443.1	3702
AAM61455.1	21537114	At_72B1_S1	3702
AAM91139.1	22136122	NP_197207.1	3702
AAN15675.1	23198296	NP_566885.1	3702
AAO00939.1	27311947	NP_171646.1	3702
AAO11554.1	27363270	NP_566885.1	3702
AAO30059.1	28059449	AAM13225.1	3702
AAO42179.1	28393517	At_76E2_S2	3702
AAO63432.1	28951017	NP_179907.1	3702
AAO63438.1	28951029	BAC41861.1	3702
AAO63914.1	28973179	At_76E2_S2	3702
AAR06919.1	37993667	Q6VAA7.1	55670
AAX16493.1	60280217	NP_001315912.1	3750
AAY27090.1	63028446	AAY27090.1	23211
AAZ23917.1	71143052	NP_190254.2	3702
ABE65996.1	91806538	NP_190252.1	3702
ABK95289.1	118486910	ABK95289.1	3694
ABK96313.1	118489011	XP_002301753.1	3695
ABL85472.1	119640480	ABL85472.1	3496
ABL85474.1	119640545	ABL85474.1	3496
ABP88123.1	145651796	NP_171649.1	3702
ABQ02258.1	146148631	ABQ02258.1	103355
ABV68925.1	157734205	ABV68925.1	3755
ABW96222.1	159171968	ABW96222.1	4006
ACB56923.1	171906252	ACB56923.1	221204
ACD03236.1	187373004	UGT84C2_S14	38783
ACD03251.1	187373034	UGT75E3_S15	38783
ACD87062.1	189308440	ACD87062.1	265354
ACG28399.1	195613138	ACG28399.1	4577
ACG42342.1	195645748	NP_001151310.1	4577
ACJ84649.1	217072578	ACJ84649.1	3880
ACJ85806.1	217074892	ACJ85806.1	3880
ADG65641.1	296012006	ADG65641.1	126910
ADI33725.1	297342387	NP_001307116.1	4081
ADN34176.1	307136362	XP_008437921.1	412675
ADV71371.1	319759270	ADV71371.1	3893
AEB61489.1	328909629	AEB61489.1	565971
AEC06781.1	330251687	NP_179446.2	3702
AEC06782.1	330251688	At_72D1_S6	3702
AEC07434.1	330252340	NP_179906.1	3702
AEC07435.1	330252341	NP_179907.1	3702
AED92377.1	332004994	NP_197207.1	3702
AED94257.1	332006874	NP_198617.1	3702
AED94260.1	332006877	NP_198620.1	3702
AED97208.1	332009825	NP_200766.2	3702
AED97209.1	332009826	At_76E2_S2	3702
AEE27281.1	332189160	NP_171646.1	3702
AEE27284.1	332189163	NP_171649.1	3702
AEE78190.1	332644669	NP_566885.1	3702
AEE78192.1	332644671	NP_190251.1	3702
AEE78193.1	332644672	NP_190252.1	3702
AEE78194.1	332644673	NP_190253.1	3702
AEE78195.1	332644674	NP_190254.2	3702
AEE78197.1	332644676	NP_190256.1	3702
AEE81977.1	332656577	At_72B1_S1	3702
AEM43000.1	343466213	AEM43000.1	190515
AEM43001.1	343466215	AEM43001.1	190515
AEO45781.1	346682865	G3FIN8.1	3983
AEO45782.1	346682867	G3FIN9.1	3983
AES71579.1	355490376	XP_003601328.1	3880
AES71956.1	355490753	XP_003601705.1	3880
AES71957.1	355490754	XP_003601706.1	3880
AES71958.1	355490755	XP_003601707.1	3880
AES82774.1	355501571	XP_003626556.1	3880
AES90646.1	355509504	AES90646.1	3880
AES98096.1	355516473	XP_003615138.1	3880
AET04104.1	355523650	XP_003629628.1	3880
AFI71901.1	385718969	AFI71901.1	35924
AFI71902.1	385718971	AFI71902.1	35924
AFJ52916.1	387135070	AFJ52916.1	4006
AFJ52917.1	387135072	AFJ52917.1	4006
AFJ52927.1	387135092	AFJ52927.1	4006
AFJ52928.1	387135094	AFJ52928.1	4006
AFJ52992.1	387135222	AFJ52992.1	4006
AFJ52996.1	387135230	AFJ52996.1	4006
AFJ52997.1	387135232	AFJ52997.1	4006
AFK34769.1	388493406	AFK34769.1	34305
AFK37311.1	388498490	AFK37311.1	3880
